Codigo;Nombre;Barrio;;
14;A. Belgrano 1;Belgrano;;
12;A. Belgrano 3;Belgrano;;
16;Malba;Barrio Norte;;
18;Proa;La Boca;;
13;San Martín 1;Centro;;
7;San Martín 2;Centro;;
5;V. Caballito 4;Caballito;;
1;V. Caballito 7;Caballito;;
17;V. Recoleta 1;Recoleta;;
9;V. Recoleta 10;Recoleta;;
8;V. Recoleta 2;Recoleta;;
10;V. Recoleta 3;Recoleta;;
3;V. Recoleta 4;Recoleta;;
15;V. Recoleta 5;Recoleta;;
6;V. Recoleta 6;Recoleta;;
4;V. Recoleta 7;Recoleta;;
2;V. Recoleta 8;Recoleta;;
11;V. Recoleta 9;Recoleta;;